#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
 203000      1.57e+00    2.45e+00      1.09e-02    2.59e-02      6.62e-02    1.03e-01    5.6e-04
 204000      9.64e-01    1.08e+00      9.90e-03    2.02e-02      3.96e-02    4.53e-02    5.6e-04
 205000      1.77e+00    1.19e-01      8.45e-03    3.06e-02      7.51e-02    7.77e-04    5.5e-04
 206000      1.69e+00    3.11e+00      6.60e-02    5.77e-02      6.95e-02    1.32e-01    5.5e-04
 207000      2.02e+00    2.56e-01      4.66e-02    3.30e-02      8.54e-02    9.45e-03    5.5e-04
 208000      3.44e-01    1.09e+00      1.22e-02    1.87e-02      1.40e-02    4.60e-02    5.5e-04
 209000      2.12e+00    6.19e-01      3.57e-02    2.35e-02      8.97e-02    2.60e-02    5.5e-04
 210000      3.93e+00    1.35e+00      2.13e-02    3.31e-02      1.68e-01    5.76e-02    5.5e-04
 211000      9.10e-01    1.29e+00      3.60e-02    3.36e-02      3.75e-02    5.49e-02    5.5e-04
 212000      2.03e+00    1.68e-01      2.83e-02    4.11e-02      8.68e-02    2.42e-03    5.5e-04
 213000      1.51e+00    1.29e-01      2.12e-02    4.53e-03      6.43e-02    5.48e-03    5.5e-04
 214000      1.20e+00    4.78e-02      2.00e-02    1.03e-02      5.06e-02    1.13e-03    5.5e-04
 215000      2.48e+00    8.11e-01      3.60e-03    5.41e-03      1.07e-01    3.49e-02    5.4e-04
 216000      1.49e+00    2.02e-01      2.76e-02    4.25e-02      6.31e-02    4.98e-03    5.4e-04
 217000      1.27e+00    1.46e-01      3.14e-02    3.77e-02      5.21e-02    7.02e-06    5.4e-04
 218000      7.39e-01    1.10e+00      1.31e-02    1.26e-02      3.17e-02    4.75e-02    5.4e-04
 219000      1.30e+00    2.37e-01      2.47e-02    2.56e-02      5.57e-02    9.26e-03    5.4e-04
 220000      9.90e-01    6.14e+00      3.52e-02    2.25e-02      4.09e-02    2.66e-01    5.3e-04
 221000      1.44e-01    4.29e+00      6.81e-03    1.04e-02      6.12e-03    1.86e-01    5.3e-04
 222000      1.39e+00    2.87e+00      4.23e-02    5.94e-02      5.60e-02    1.24e-01    5.3e-04
 223000      9.62e-01    8.68e-01      1.24e-02    7.85e-03      4.10e-02    3.76e-02    5.3e-04
 224000      1.38e+00    1.32e-01      1.94e-02    2.57e-02      5.86e-02    3.69e-03    5.3e-04
 225000      2.39e+00    3.21e+00      1.45e-02    1.34e-02      1.04e-01    1.40e-01    5.2e-04
 226000      2.25e+00    1.29e+00      1.10e-02    2.07e-02      9.81e-02    5.64e-02    5.2e-04
 227000      1.49e+00    2.85e+00      2.00e-02    1.08e-02      6.36e-02    1.25e-01    5.2e-04
 228000      9.15e-01    1.94e+00      5.89e-03    3.37e-03      3.99e-02    8.50e-02    5.2e-04
 229000      1.46e+00    2.42e-01      2.15e-02    4.21e-03      6.24e-02    1.05e-02    5.2e-04
 230000      1.16e+00    3.23e-02      1.86e-02    2.97e-03      5.01e-02    1.32e-03    5.2e-04
 231000      1.75e+00    3.44e+00      1.73e-02    4.89e-02      7.71e-02    1.51e-01    5.2e-04
 232000      1.33e+00    1.31e-01      1.51e-02    2.85e-02      5.81e-02    2.84e-03    5.2e-04
 233000      1.64e+00    7.67e-02      4.93e-02    1.65e-02      6.91e-02    1.74e-03    5.2e-04
 234000      3.15e+00    3.71e-01      3.03e-02    3.11e-02      1.38e-01    1.54e-02    5.2e-04
 235000      6.05e-01    7.01e-02      5.87e-04    8.98e-03      2.68e-02    2.66e-03    5.1e-04
 236000      3.58e+00    4.18e+00      1.87e-03    6.86e-03      1.59e-01    1.85e-01    5.1e-04
 237000      9.92e-01    6.54e-02      1.52e-02    1.43e-02      4.30e-02    1.40e-03    5.1e-04
 238000      2.82e+00    1.11e+00      6.07e-03    1.67e-02      1.25e-01    4.90e-02    5.1e-04
 239000      1.50e+00    9.77e-02      1.51e-02    2.44e-02      6.64e-02    6.94e-06    5.1e-04
 240000      1.84e+00    1.71e+00      3.47e-02    3.77e-02      7.96e-02    7.61e-02    5.0e-04
 241000      1.38e+00    2.28e-01      6.64e-03    4.16e-02      6.18e-02    6.88e-03    5.0e-04
 242000      1.15e+00    3.63e-01      8.25e-03    6.11e-03      5.13e-02    1.62e-02    5.0e-04
 243000      2.64e+00    1.98e+00      2.08e-02    1.90e-02      1.15e-01    8.83e-02    5.0e-04
 244000      1.81e+00    7.91e-02      2.32e-02    1.91e-02      8.03e-02    7.80e-04    5.0e-04
 245000      2.96e+00    8.68e-02      9.83e-03    2.01e-02      1.33e-01    1.31e-03    4.9e-04
 246000      1.05e+00    4.84e+00      6.00e-02    5.19e-02      4.18e-02    2.17e-01    4.9e-04
 247000      8.78e-01    3.67e+00      2.07e-02    1.11e-02      3.72e-02    1.65e-01    4.9e-04
 248000      3.12e+00    2.16e+00      5.24e-02    3.01e-02      1.40e-01    9.69e-02    4.9e-04
 249000      2.93e+00    2.67e+00      2.75e-02    3.46e-02      1.31e-01    1.20e-01    4.9e-04
 250000      1.57e+00    2.71e+00      2.87e-02    8.47e-03      6.83e-02    1.23e-01    4.9e-04
