# Time-averaged data for fix 5
# TimeStep c_flux[1] c_flux[2] c_flux[3] c_flux[4] c_flux[5] c_flux[6]
287000 -2216.56 -4247.72 2316.44 -3445.2 -3624.67 2266.08
288000 -6604.41 -33.2245 2666.26 -6930.76 548.283 2606.37
289000 -5335.25 893.538 2922.32 -5086.81 1176.69 2965.63
290000 -6317.42 4612.56 3625.39 -6426.26 4760.75 3620.84
291000 -6206.45 8450.6 4339.9 -6775.61 8464.55 4292.37
292000 -2953.75 11123.2 4485.97 -2870.39 11325.1 4467.92
293000 545.457 12697.1 4189.35 602.612 12857.1 4166.14
294000 -967.358 16449.5 5036.91 -656.165 16627.8 5045.71
295000 -4629.89 19908.7 5166.92 -4706.98 20255 5181.12
296000 -7188.37 22392.3 4803.32 -7113.34 22010.5 4749.59
297000 -7897.1 19601 5182.14 -7301.62 19165.5 5130.48
298000 -10211.8 16923.1 6048.31 -9264.42 17109.5 6033.94
299000 -9860.08 10954.4 6006.58 -9678.72 11451.9 5951.57
300000 -11494.8 9164.64 5748.23 -11195.8 9711.71 5753.73
301000 -10531.7 8803.03 5470.6 -10284.6 9804.27 5511.03
302000 -7591.79 7763.43 4302.75 -7653.86 8578.93 4251.22
303000 -3932.9 6065.38 4246.45 -4467.95 7081.84 4230.52
304000 -2468.22 2952.81 4788.35 -3313.61 4237.64 4753.53
305000 -3119.57 1823.62 5285.74 -4330.73 3194.32 5262.9
306000 -1897.11 1756.48 5462.37 -3055.94 3517.83 5439.06
307000 -834.931 697.119 5676.06 -1652.69 1781.46 5623.71
308000 -1689.17 263.56 5683.5 -2325.16 1616.81 5656.04
309000 554.567 -1556.02 6577.03 -131.794 -628.147 6590.11
310000 1503.14 -3798.87 7233.06 653.623 -2552.14 7173.94
311000 -2982.51 -3339.54 6638.49 -3300.96 -2451.29 6598.36
312000 -5452.43 -2538.13 6598.55 -5654.72 -1954.74 6608.54
313000 -6009.05 -3310.74 7462.41 -5886.17 -2949.16 7447.49
314000 -6278.76 -958.434 8214.31 -5577.75 -1046.16 8173.29
315000 -5104.11 -6007.46 8290.1 -4287.43 -5552.22 8265.86
316000 -2793.17 -7098.21 8047.38 -2194.01 -6608.07 8054.71
317000 378.76 -6867.72 7943.36 634.255 -6325.62 7950.54
318000 -815.006 -6316.23 7344.46 65.1473 -5778.33 7298.01
319000 752.559 -7056.55 7273.6 1900.08 -6307.3 7271.01
320000 733.31 -4460.76 7473.59 1969.66 -3426.79 7446.13
321000 2360.67 -2700.35 7219.06 3214.7 -1210.56 7215.02
322000 3431.68 -7271.64 7491.13 4953.35 -5220.78 7473.6
323000 975.771 -7275.44 7052.98 2631.86 -5416.23 7026.2
324000 -2702.01 -6497.01 7620.7 -1787.14 -4570.11 7569.05
325000 -3387.49 -8682.3 8730.31 -2164.25 -7716.77 8672.89
326000 -963.739 -8471.04 8602.68 141.62 -7914.23 8603.92
327000 -748.628 -6601.29 8294.5 275.059 -5616.96 8277.08
328000 1455.39 -8414.55 7688.74 1608.88 -6816.99 7694.08
329000 2523.5 -6520.27 7330.55 2707.24 -5229.44 7296.44
330000 1766.76 -7707.38 8330.4 2299.35 -5950.33 8306.13
331000 874.658 -6228.95 8650.64 1369.85 -4122.22 8628.65
332000 1780.98 -5507.44 9830.08 2234.51 -2918.59 9831.19
333000 1875.91 -4173.9 10098.6 2234.49 -1780.01 10080.6
334000 2380.22 -4313.21 10299.2 3055.86 -1900.69 10222.3
335000 497.008 -5296.78 9322.21 354.919 -2745.18 9280.6
336000 -1753.84 -6112.22 9701.09 -1744.78 -4024.66 9634.83
337000 -745.026 -5730.73 9928.88 -737.622 -3964.19 9867.27
338000 -1200.56 -6594.07 9641.31 -966.756 -4485.94 9630.86
339000 -128.499 -6537.02 9587.3 -24.7795 -4646.32 9598.72
340000 -1062.86 -10909.9 9346.45 -673.443 -9846.09 9334.51
341000 -4137.78 -13049.1 9729.67 -3990.25 -11293.8 9682.85
342000 -4596.2 -14858.7 9618.83 -4540.54 -12503.7 9576.09
343000 -4090.25 -12759.1 10538.8 -3649.85 -10911.6 10475.1
344000 -4631.81 -10178.1 9996.44 -3836.78 -8504.47 9976.65
345000 -3125.91 -8525.43 9676.4 -2357 -6942.7 9664.13
346000 -1742 -7707.19 9691.08 -1635.51 -5244.4 9649.55
347000 -360.192 -3129.08 9457.73 -724.893 -1001.6 9425.83
348000 -562.655 -4716.7 9468.27 -364.442 -2160.64 9443.93
349000 -1912.41 -4513.77 9083.89 -1229.79 -2608.92 9028.78
350000 -3711.37 -1668.15 8550.57 -2503.37 187.243 8545.41
351000 -3991.37 -282.615 8987.24 -2520.5 1866.52 8975.09
352000 -3682.59 -5165.17 9415.15 -2823.87 -3022.32 9362.91
353000 -4089.85 -6683.65 9802.56 -3642.69 -4728.64 9756.46
354000 -4569.24 -2624.6 10130.7 -4272.82 -1771.89 10058.7
355000 1013.12 610.488 10027.9 888 1541.82 9991.09
356000 2238.65 335.779 10166.3 2272.99 1279.19 10130.7
357000 1885.79 -1705.55 9742.39 1238.68 -316.949 9667.37
358000 3802.09 -523.266 9267.8 3269.37 667.145 9264.33
359000 3858.51 1336.49 9695.91 3673.34 2743.22 9691.01
360000 2220.78 3677.48 9696.87 2287.02 4856.24 9688.15
361000 650.193 5403 10060.3 555.876 6352.64 10056.7
362000 1467.24 5715.7 10146.2 1463.26 6695.12 10118.9
363000 292.786 7160.18 9779.86 623.191 7603.28 9747.97
364000 2158.06 12305.9 10021.5 2678.89 12950 10001.2
365000 -543.428 9455.32 11083.2 32.8287 10625.1 11055.6
366000 3227.5 11611.9 11945.7 3596.76 12149.3 11929.9
367000 6513.05 11124 12493.9 6805.68 12027.7 12466.5
368000 4582.51 8982.6 12870.5 4868.1 9236.09 12798.8
369000 4168.67 12416.9 12716 4255.92 12260.5 12680.4
370000 2546.67 11396 12955.8 2664.94 11718.7 12872.1
371000 4695.67 8774.54 12384.3 4368.48 9712.42 12312.2
372000 6508.92 8514.93 11830.3 6675.8 9856.38 11821.5
373000 8951.43 6041.64 12117.4 9803.28 7753.9 12086.3
374000 8911.98 4713.31 12377.2 9100.43 6266.19 12338.9
375000 7671.54 4437.48 12745.7 7793.02 5612.07 12701.7
376000 5757.76 4670.59 13245.2 5646.77 5639.21 13167.3
377000 2504.32 4171.85 13808.8 2638.08 5050.81 13774.6
378000 1605.28 6720.91 13134.8 1890.9 7105.16 13079.7
379000 -1089.65 8208.95 12126.1 -1139.81 8090.91 12086
380000 -906.094 5138.83 11164.8 -1160.96 5529.66 11109.1
381000 1695.07 2176.6 10788.6 1362.4 3032.42 10765.4
382000 1597.74 2294.98 10727 1671.71 3007.51 10730.6
383000 1605.53 5266.05 10774.8 998.9 5778.48 10743.2
384000 1003.26 4915.95 10621.9 788.797 5735.93 10575.7
385000 3335.91 3911.03 10725.1 2902.55 5224.55 10663.5
