# Time-averaged data for fix 4
# TimeStep f_hot1 f_cold1 c_block1_temp c_block2_temp c_block3_temp c_block4_temp c_block5_temp c_block6_temp c_block7_temp c_block8_temp c_block9_temp c_block10_temp
246000 -312.092 349.517 260.365 272.883 282.396 286.117 289.772 300.396 305.748 317.046 325.707 331.483
247000 -310.962 349.48 260.66 272.206 282.93 285.314 291.175 299.462 305.78 317.4 325.588 330.873
248000 -312.526 349.491 260.742 271.988 283.979 283.695 292.246 300.81 305.189 316.806 325.432 330.777
249000 -312.084 348.906 261.972 272.382 282.303 284.156 293.034 301.23 304.625 316.724 324.062 330.885
250000 -315.398 350.289 262.13 272.438 281.681 284.381 293.603 299.656 305.662 317.308 323.1 332.295
251000 -314.714 351.121 263.397 272.148 281.15 284.514 293.867 298.311 306.048 316.854 324.184 330.879
252000 -316.757 352.298 264.14 271.276 280.456 285.501 293.67 298.791 305.523 317.97 322.613 331.82
253000 -319.166 352.914 264.473 271.646 280.051 285.856 293.17 299.385 306.136 316.304 322.485 332.626
254000 -320.214 354.544 263.834 272.843 279.97 286.774 290.983 300.161 307.087 315.94 322.726 333.184
255000 -320.939 354.107 264.412 271.453 280.259 288.252 291.227 300.013 306.276 315.867 321.75 334.486
256000 -321.822 355.763 265.533 271.519 278.991 289.249 291.223 301.211 305.549 316.119 320.103 336.441
257000 -321.924 356.09 265.867 272.09 277.864 288.786 291.791 300.991 305.666 316.367 320.516 335.426
258000 -323.031 355.797 266.267 272.623 277.766 289.178 292.035 298.627 307.284 316.469 321.95 332.437
259000 -323.568 357.987 264.974 272.348 278.518 290.457 291.227 298.437 307.473 315.207 323.648 331.789
260000 -324.673 359.142 262.237 273.256 279.815 289.101 292.668 296.828 306.891 316.856 325.969 330.365
