# Time-averaged data for fix 4
# TimeStep f_hot1 f_cold1 c_block1_temp c_block2_temp c_block3_temp c_block4_temp c_block5_temp c_block6_temp c_block7_temp c_block8_temp c_block9_temp c_block10_temp
165000 -222.694 227.384 265.324 275.927 281.863 288.639 291.812 300.75 314.224 318.785 324.511 339.461
166000 -223.544 228.919 265.776 275.946 280.688 289.046 293.74 301.048 312.04 319.529 323.706 340.576
167000 -226.548 230.378 266.41 274.866 280.506 288.501 294.991 300.721 312.937 318.281 323.487 341.203
168000 -225.686 230.863 265.506 273.402 281.722 289.684 294.717 300.376 312.861 317.294 324.52 339.898
169000 -225.36 230.737 265.613 272.338 282.83 289.625 294.334 302.14 310.691 318.706 325.132 338.67
170000 -227.111 232.285 266.633 271.609 283.509 289.053 295.643 301.044 312.261 315.89 326.902 339.779
171000 -229.26 231.858 267.256 271.705 283.667 287.961 298.058 299.994 313.017 314.088 326.778 340.23
172000 -229.818 231.913 267.935 270.852 283.556 287.016 297.935 300.764 313.324 313.203 327.193 340.564
173000 -230.819 232.437 268.332 270.97 284.155 287.502 295.717 300.567 314.179 313.191 328.088 339.814
174000 -232.035 233.286 268.771 270.76 284.27 288.695 294.049 301.099 314.191 312.879 328.276 339.977
175000 -231.85 234.654 267.88 271.614 283.931 288.951 294.566 301.728 312.929 313.145 329.419 338.796
176000 -233.499 236.543 268.063 271.213 282.887 288.889 295.021 301.918 313.444 312.784 329.345 338.425
177000 -232.807 238.585 268.238 270.791 281.637 288.582 295.246 302.854 312.027 313.391 329.388 338.052
178000 -235.556 239.149 267.723 270.062 282.273 289.177 294.813 302.68 311.061 315.225 328.737 338.201
179000 -235.441 241.299 267.814 269.267 283.479 289.034 296.279 301.311 311.433 315.427 327.925 338.851
180000 -239.831 244.488 266.89 269.218 283.031 288.373 297.109 302.054 310.97 316.124 327.148 341.207
181000 -238.036 243.918 266.541 270.732 281.864 288.425 296.226 304.151 309.119 318.438 326.049 341.012
182000 -240.973 243.311 267.625 272.147 281.056 286.817 297.054 305.16 307.504 319.358 325.188 340.488
183000 -242.394 244.729 265.893 272.903 281.311 286.777 296.518 305.318 307.345 320.011 324.588 340.061
184000 -243.062 247.215 264.694 273.552 281.171 286.936 297.708 304.843 306.939 320.083 325.414 338.189
185000 -241.318 248.648 263.536 272.556 281.711 286.832 297.375 304.77 306.861 319.641 327.494 337.022
186000 -242.418 250.496 262.231 272.284 282.268 287.075 297.516 304.291 308.583 317.759 327.658 338.435
187000 -244.787 251.133 261.84 273.447 282.45 287.394 296.919 303.403 308.888 317.282 328.071 338.487
188000 -245.414 252.787 262.311 273.228 282.984 286.105 297.887 300.86 311.46 316.841 328.982 337.337
189000 -246.636 252.482 263.032 272.602 283.19 286.936 296.893 301.629 311.71 317.161 328.538 337.58
190000 -249.053 253.915 263.463 272.609 283.646 285.951 295.87 301.238 312.008 318.512 328.036 338.001
191000 -250.248 255.096 262.04 272.018 285.167 286.072 294.05 303.214 310.426 318.954 329.279 337.923
192000 -250.707 256.995 263.276 271.669 284.934 285.83 294.639 303.039 309.209 320.452 328.143 339.042
193000 -251.527 254.775 265.592 271.965 283.958 285.839 294.04 302.984 309.294 321.356 327.115 340.36
194000 -255.03 255.612 265.979 271.086 283.469 286.058 293.009 304.614 308.388 321.777 327.222 340.753
195000 -253.17 257.367 266.597 269.481 284.17 286.747 293.917 303.044 309.22 322.335 326.444 339.122
196000 -252.221 256.712 267.587 269.944 283.067 287.238 294.531 302.153 309.165 322.088 326.748 337.777
197000 -252.191 259.488 266.527 270.75 281.222 288.634 294.234 302.318 308.362 321.256 327.753 337.431
198000 -256.297 261.614 264.98 272.857 279.893 287.896 294.807 302.829 308.72 321.14 328.409 336.692
199000 -256.783 263.446 263.105 274.792 279.536 287.317 293.785 302.802 309.851 320.634 329.249 337.46
200000 -256.719 264.543 263.534 274.278 277.959 289.347 292.597 302.629 309.225 321.544 329.793 337.33
201000 -257.748 264.143 265.003 273.999 278.813 289.774 291.991 303.239 308.892 321.026 331.057 336.031
202000 -258.915 264.077 266.564 273.902 278.962 290.025 291.214 303.93 308.447 321.932 330.51 334.928
203000 -260.496 264.905 266.591 272.552 279.666 290.588 292.006 302.416 309.089 321.015 329.763 336.568
204000 -262.537 266.107 267.063 271.477 280.368 291.382 290.855 302.739 309.727 321.021 328.875 338.679
205000 -264.594 268.423 267.938 271.221 279.335 291.341 291.142 302.755 310.459 319.175 328.694 340.482
206000 -265.516 268.289 268.275 271.149 278.54 290.575 292.288 304.033 310.078 319.173 327.925 340.289
207000 -266.673 268.171 269.909 270.9 277.788 289.581 292.761 305.485 311.112 316.807 327.192 342.011
208000 -267.696 268.569 269.371 271.361 277.145 288.416 293.987 304.716 311.904 317.733 326.916 341.245
209000 -270.141 270.751 269.55 270.225 277.711 288.359 293.977 304.32 312.046 318.737 327.984 340.319
210000 -268.9 271.739 269.024 269.833 278.369 288.549 293.833 303.608 312.217 318.093 327.427 341.017
211000 -269.837 273.91 266.49 269.706 279.593 287.211 295.191 304.778 310.298 318.531 328.185 340.16
212000 -270.606 275.903 265.962 270.897 279.433 284.486 297.548 304.548 308.721 320.615 326.42 340.111
213000 -271.666 277.126 265.084 270.985 279.442 284.279 297.3 304.055 309.396 321.111 325.08 341.549
214000 -273.565 280.158 263.457 271.888 278.787 285.105 297.973 302.592 309.769 321.783 325.12 342.232
215000 -275.586 282.221 261.616 272.065 278.81 285.694 297.283 303.061 309.516 321.602 326.752 340.749
216000 -275.148 284.389 260.63 271.831 277.792 286.351 299.084 303.054 308.314 321.166 328.234 338.06
217000 -275.925 285.714 261.321 270.879 277.801 286.881 299.537 303.027 308.852 319.786 329.562 338.464
218000 -276.772 286.229 262.345 268.655 279.054 287.049 299.805 304.088 308.252 317.956 330.806 339.73
219000 -278.866 285.724 263.053 267.297 279.792 288.639 299.772 302.157 308.098 319.293 330.369 339.928
220000 -280.755 287.518 263.614 266.543 280.05 289.133 299.485 302.632 307.496 319.868 331.304 338.793
221000 -281.535 287.392 263.799 266.968 279.325 289.247 298.675 302.934 308.509 318.377 332.969 337.112
222000 -284.354 289.227 265.602 266.459 278.717 289.54 297.963 304.088 309.195 318.849 333.241 335.92
223000 -285.206 289.366 265.279 267.821 278.629 289.464 297.713 303.961 309.709 319.556 334.001 335.815
224000 -285.242 290.589 264.538 267.55 277.775 289.067 299.157 303.402 309.489 320.477 334.526 336.191
225000 -286.561 293.023 263.556 267.989 277.808 287.396 300.018 302.933 310.904 319.21 332.803 337.72
226000 -287.974 293.317 262.147 269.579 276.821 286.923 299.557 304.344 310.98 319.954 330.688 337.808
227000 -290.129 294.668 262.883 270.022 277.549 286.813 298.324 304.977 309.263 322.319 329.006 338.767
228000 -289.743 295.233 264.16 269.814 277.806 285.687 297.338 305.691 309.776 321.766 329.024 338.475
229000 -291.256 297.406 263.701 270.302 277.053 285.67 297.96 305.795 309.657 322.089 329.221 338.863
