,strain,up_strain_armchair,up_strain_zigzag,bottom_stress_armchair,bottom_stress_zigzag,total_stress_armchair,total_stress_zigzag
72,0.0144,0.00594398008543684,0.00594398008543684,0.4053774885533149,0.07160307349649958,1.9255459102155392,0.9653712050010113
73,0.0146,0.006140320211378558,0.006140320211378558,0.40325266836433116,0.10194843132312903,2.056973698601966,1.1887191851497763
74,0.0148,0.006286910063830087,0.006286910063830087,0.42880915344190523,0.1496476708407185,2.1710549921905873,1.2634493009034522
75,0.015,0.0064854359127051175,0.0064854359127051175,0.43828342989887803,0.12959667497448327,2.2757395758974956,1.3618775430362853
76,0.0152,0.006682990643748443,0.006682990643748443,0.4372831357790365,0.14967638501587122,2.4335281507116346,1.5296367532204131
77,0.0154,0.00688050452393707,0.00688050452393707,0.44144148305621805,0.14519267883287013,2.5685646478182393,1.6451639461675334
78,0.0156,0.00485617563106322,0.00485617563106322,0.07988270865590914,0.5299869001607973,0.910284529391104,-0.016068344859805114
79,0.0158,0.00505215012163629,0.00505215012163629,0.07050966659551693,0.5370214607737878,1.0203142077921172,0.10309859521124401
80,0.016,0.005229885312492577,0.005229885312492577,0.15929213116231727,0.5209388320142837,1.078364321902496,0.0360446264614782
81,0.0162,0.005427441661391752,0.005427441661391752,0.17164649795192619,0.5337220339641061,1.224226295601951,0.18069343005869373
82,0.0164,0.00562414580484627,0.00562414580484627,0.18412815508203478,0.5413130461584338,1.3620774576856929,0.32154433155212
83,0.0166,0.005814500269484046,0.005814500269484046,0.17557496960243002,0.5462106559552381,1.4478591456471241,0.4259313929097799
84,0.0168,0.006012215572696933,0.006012215572696933,0.19089933203525117,0.5663955299035415,1.600997089971195,0.5877786457492423
85,0.017,0.004903917336809727,0.004903917336809727,-0.7895434620545316,0.015083861036455598,0.7665266416569256,0.33674151258410084
86,0.0172,0.005093382385324086,0.005093382385324086,-0.7710920232658252,0.04675720526575563,0.9274473795249493,0.4441752764662576
87,0.0174,0.005289317238435176,0.005289317238435176,-0.7557090565683832,0.06693245407500961,1.0585936216157108,0.5782314910565711
88,0.0176,0.005486546376036072,0.005486546376036072,-0.7501402575274075,0.07579993683506518,1.2047360408610954,0.7300385144873297
89,0.0178,0.005672656800937093,0.005672656800937093,-0.7489897546145967,0.1034867414482657,1.3220314352040654,0.8306178822777384
90,0.018,0.005869523134417021,0.005869523134417021,-0.7399259218898171,0.10520955326110833,1.4613162986426016,0.9944359874510574
91,0.0182,0.006058461570929596,0.006058461570929596,-0.7222438529310165,0.07804668562513209,1.5723757314594546,1.0004825604117358
92,0.0184,0.006253951918210543,0.006253951918210543,-0.7015570878585187,0.14713567842155215,1.7518537575611004,1.3185841846252837
93,0.0186,0.006379349884451546,0.006379349884451546,-0.6329751233129546,0.10611514751777333,1.863030316515515,1.2975952567961055
94,0.0188,0.006576378407956662,0.006576378407956662,-0.6269089715838607,0.23732303289771706,1.9642802005064184,1.512227629766851
95,0.019,0.006407366694565431,0.006407366694565431,-0.29229459496799887,0.29484275656736864,1.380116490722343,1.1317970059964881
96,0.0192,0.00660471717133726,0.00660471717133726,-0.27897747094882897,0.23547240577665984,1.5415649895243713,1.215492863788037
97,0.0194,0.005534274734473987,0.005534274734473987,0.22771121019159188,-0.6628500969375279,-0.38778232461540163,-0.28421830601771064
98,0.0196,0.005730578458664537,0.005730578458664537,0.2462469283340819,-0.5837746614627961,-0.28997377160120513,-0.0876268331859426
99,0.0198,0.005925096879186187,0.005925096879186187,0.24766320459760874,-0.5500402180186637,-0.1575588637011451,0.05798609570667956
100,0.02,0.0060694237560992015,0.0060694237560992015,0.23381335730456035,-0.3690503379629577,-0.08220885824827785,0.24823787002943273
101,0.0202,0.006260506660226373,0.006260506660226373,0.27036011259710474,-0.28370220323664197,0.07638976600073429,0.4122696799284593
102,0.0204,0.006457331333924454,0.006457331333924454,0.2925565945122535,-0.33495736396770803,0.2130007829353935,0.545276811500885
103,0.0206,0.006654522856382572,0.006654522856382572,0.31120910171878974,-0.3234301693375556,0.3620035204877056,0.6736016981219336
104,0.0208,0.006644747368304893,0.006644747368304893,0.3757182347407479,-0.14600308096088857,0.38830497043533735,0.6545624894774835
105,0.021,0.00683740687272727,0.00683740687272727,0.41485504053188743,-0.1219665351932002,0.5410520952305092,0.759330774416514
106,0.0212,0.00703399048593889,0.00703399048593889,0.4260650059804983,-0.10866193217896825,0.679056713933883,0.939732138540516
107,0.0214,0.006637347296731377,0.006637347296731377,0.04059297117319946,0.2845136121926765,0.4120918736703099,0.5892121540801183
108,0.0216,0.006808609042816549,0.006808609042816549,-0.0002954527363367097,0.1777564412669718,0.485966687642697,0.6381942278665945
109,0.0218,0.006989865091950875,0.006989865091950875,0.01277117143705991,0.16372017553519588,0.5781967390380387,0.7141956822111153
110,0.022,0.007185599330965742,0.007185599330965742,0.029724497657607818,0.2165470545265621,0.709269194638664,0.8662277291990597
111,0.0222,0.00738254574829833,0.00738254574829833,0.04713099704994583,0.22446307327123308,0.8580588948487883,0.9935624242388004
112,0.0224,0.007420862636172032,0.007420862636172032,-0.05063672697871323,0.21992865993017158,0.8096195695531455,0.9968427073964297
113,0.0226,0.007611175845491536,0.007611175845491536,-0.012044735969218016,0.12861487240826008,0.9649429485781453,1.0476122228182105
114,0.0228,0.007806262537797259,0.007806262537797259,0.006008971913744192,0.19737375275177366,1.0980537636744339,1.2173221478635996
115,0.023,0.006357326420456388,0.006357326420456388,0.32389284025890797,0.10734580968796921,0.9015899699679311,-0.3915670145152738
116,0.0232,0.0065326756787480456,0.0065326756787480456,0.3303270998350169,-0.05277373751659119,0.7904847928255457,-0.24278140846747293
117,0.0234,0.006728771912956066,0.006728771912956066,0.3461512623130118,-0.03900651766762214,0.9297660516633414,-0.08997630619375481
118,0.0236,0.006576139774253864,0.006576139774253864,-0.3625514323989365,-0.3779827988103595,0.7294240424094528,-0.17134422885187933
119,0.0238,0.003810753735717931,0.003810753735717931,-0.8854023063212181,-0.14954609145955247,-0.646640516177372,-0.05518085923612395
120,0.024,0.003993181112316169,0.003993181112316169,-0.8282826936558487,-0.1822016681496936,-0.4612847338413291,0.11174541864496564
121,0.0242,0.004188470845501113,0.004188470845501113,-0.8104354063024684,-0.14451527064008066,-0.31537447689917336,0.27630110587203194
122,0.0244,0.004381090307997049,0.004381090307997049,-0.7888888690189959,-0.14165165169104638,-0.18692987504567152,0.3798168164129814
123,0.0246,0.004576822524692048,0.004576822524692048,-0.775755031257654,-0.11896845137802647,-0.03596406679489671,0.5296523373247
124,0.0248,0.004709864454240709,0.004709864454240709,-0.6677508078479275,-0.0033913587812051563,0.09797053446654361,0.6509399745400432
