# Time-averaged data for fix 5
# TimeStep c_flux[1] c_flux[2] c_flux[3] c_flux[4] c_flux[5] c_flux[6]
208000 4457.7 -9688.97 -6440.4 4269.48 -5584.73 -6401.25
209000 2034.23 -7088.27 -6981.69 2058.07 -3218.82 -6997.33
210000 -1294.87 -7760.99 -6754.74 -1124.43 -3913.09 -6751.72
211000 -1951.8 -5794.2 -6742.38 -1403.22 -1734.66 -6776.25
212000 -1931.41 -3888.57 -6644.13 -1592.02 573.375 -6619.07
213000 -3312.38 -5838.32 -6581.59 -3339.82 -1191.79 -6562.12
214000 -3581.64 -5259.97 -6443 -3990.54 -572.974 -6441.65
215000 -3556.78 -872.498 -6908.52 -3597.27 3450.09 -6889.76
216000 -2192.93 -1233.07 -6892.37 -1890.58 3870.23 -6905.3
217000 200.307 -461.833 -6560.89 797.9 4756.36 -6539.26
218000 -2694.29 839.696 -6711.46 -2511.07 6161.13 -6701.54
219000 -5212.21 2115.11 -7966.42 -4531.72 6865.64 -7904.08
220000 -9746.56 3470.79 -8405.58 -9338.27 8108.63 -8368.08
221000 -11784.8 2468.57 -9349.26 -10868.8 7506.83 -9332.01
222000 -11234.9 724.705 -9805.8 -10755.8 5122.11 -9807.52
223000 -12328.7 4943.93 -9586.21 -11858.3 9393.04 -9641.32
224000 -12827.5 6231.98 -10203.2 -12318.1 10778 -10194.3
225000 -16071.8 4010.56 -10095.5 -15386 8299.22 -10049.7
226000 -17052.8 2317.79 -10352 -16465.2 6072.94 -10273.6
227000 -13148.1 10731.3 -9699.44 -12609.3 14056.6 -9679.96
228000 -10993.1 13584.4 -9351.55 -10543.3 16873 -9386.59
229000 -10127.1 15484.6 -9256.77 -9747.91 18356.3 -9254.11
230000 -10212.8 15476.5 -9980.84 -10298.4 18224.2 -10012.4
231000 -7792.27 21184.2 -10504.6 -7911.51 24251.2 -10500
232000 -9325.91 16893.5 -10176.5 -9673.72 20605 -10101.3
233000 -12829.9 10942 -10459.2 -13023 14969.8 -10398.3
234000 -11481.9 8199.01 -10970.1 -11544.6 12758.3 -10931.4
235000 -11566.5 11496.3 -11095.8 -11393.5 16134.5 -11100.9
236000 -12812 13936.6 -11052.5 -12612.5 18416.9 -11033.1
237000 -10809.8 10756.4 -10523.3 -10153.3 15433.3 -10465.4
238000 -9141.19 11799.7 -9633.36 -8734.21 16856.2 -9600.64
239000 -7085.58 13710.5 -8048.24 -6743.98 18588.7 -8060.97
240000 -6385.32 14810.2 -8280.08 -6070.8 19278.4 -8244.91
241000 -3319.67 12854 -8902.06 -3380.98 17355.5 -8884.48
242000 -2582.85 12588.6 -8969.14 -2887.08 17080.2 -8958.04
243000 -1453.02 9061.37 -9083.33 -1561.84 13565.6 -9031.23
244000 -1178.38 7273.5 -9189.55 -721.116 12112.8 -9171.25
245000 416.117 5999.93 -8579.54 724.522 10825.7 -8545.52
246000 448.354 3438.59 -8901.26 755.288 7875.34 -8890.45
247000 -1057.55 1842.25 -9245.57 -1010.78 6091.74 -9286.81
248000 -1549.37 4086.16 -8587.36 -1705.24 8403.87 -8518.86
249000 -668.356 2808.87 -8419.79 -920.742 6788.28 -8405.69
250000 1830.55 -871.294 -8081.27 1962.01 3526.4 -8022.7
251000 5310.02 -3251.5 -8360.33 5976.03 1724.7 -8342.46
252000 9167.85 -3893.61 -8187.97 9379.16 1425.71 -8201.75
253000 9261.7 -3738.2 -8287.26 9346.58 1550.17 -8277.98
254000 10927.4 -5330 -8337.42 10895.3 -77.7942 -8276.12
255000 8607.42 -7387.88 -7965.15 8835.99 -2826.65 -8017.69
256000 11043.1 -4859.18 -8597.26 11684.4 -569.901 -8578.5
257000 12576.5 -2522.75 -9069.93 12910.7 2151.3 -9007.25
258000 10208.4 -1565.22 -8785.26 10354.2 2722.95 -8751.21
259000 8886.75 -1910.95 -8300.19 8517.96 2343.31 -8291.3
260000 9335.33 -5500.02 -8328.9 8997.06 -497.87 -8320.48
261000 9270.19 -8357.16 -8746.11 9135.62 -3930.47 -8726.33
262000 9014.32 -10432 -8694.34 8976.07 -6146.67 -8650.1
263000 7987.06 -8893.52 -8721.81 8199.88 -4816.08 -8716.76
264000 11642.4 -6173.15 -8517.76 11918.1 -2054.61 -8526.47
265000 12643.7 -3569.69 -8881.09 13504.6 296.025 -8826.96
266000 13291.6 -1629 -9086.93 14036.6 2460.47 -9025.56
267000 11762.6 -2985.89 -9783.78 12171.5 1280.72 -9764.83
268000 11218.6 -8264.47 -9956.84 11305.3 -3617.72 -9885.23
269000 10082.3 -8272.06 -9355.62 9741.53 -3518 -9366.19
270000 7015.77 -8495.39 -9714.83 6240.41 -3220.47 -9719.16
271000 4747.36 -7917.98 -10352.7 4297.93 -2939.99 -10323.3
272000 3015.25 -8029.96 -10326.9 2402.01 -2964.59 -10306
273000 963.385 -8469.22 -9672.65 888.993 -3458.7 -9676.25
274000 294.32 -7719.12 -8919.87 314.846 -2512.26 -8958.38
275000 -98.2295 -7972.91 -9242.18 -58.62 -3052.16 -9250.79
276000 549.198 -12334 -8948.11 330.224 -7322.67 -8917.3
277000 -6.98546 -7515.71 -8687.42 6.61793 -2829.64 -8654.65
278000 1223.13 -5754.22 -9143.8 1367.72 -842.134 -9133.87
